,delta_time,longitude,latitude,heights,class,utm_x,utm_y,elapsed_seconds,qGIS_Surface_Type
41,144088547.72740826,-77.45595265357949,85.69905687276086,-0.077338085,other,579547.3296567539,9524398.885954224,1261.2402557856271,ice
42,144088547.72843528,-77.45634958279885,85.69899893625694,0.10382228,other,579545.1212298321,9524391.956712872,1261.1851400730816,pond
43,144088547.72935444,-77.45670386334673,85.69894711063206,0.05969888,other,579543.1521211475,9524385.759426355,1261.130024360536,pond
44,144088547.73035106,-77.45708613507118,85.69889094935685,0.06245041,other,579541.0318022138,9524379.045972466,1261.0749086479902,ice
45,144088547.7313389,-77.45746472910966,85.69883528902726,0.09220119,other,579538.9325239208,9524372.392779116,1261.019792935445,ice
46,144088547.73209128,-77.45775305165844,85.69879289894075,0.043075748,other,579537.333763042,9524367.325822506,1260.964677222899,ice
47,144088547.7328302,-77.45803595836547,85.69875129376848,0.03298997,other,579535.7651950195,9524362.352798777,1260.9095615103531,ice
48,144088547.73378775,-77.45840263367816,85.69869736075243,0.15958999,other,579533.7322623705,9524355.906327004,1260.8544457978076,ice
49,144088547.7349702,-77.45885541627459,85.69863078723068,0.29386187,other,579531.2213656509,9524347.948745342,1260.7993300852615,ice
50,144088547.73603112,-77.45926171872773,85.69857108041927,0.15478125,other,579528.9675185317,9524340.81164792,1260.7442143727162,ice
51,144088547.73690575,-77.4595966343751,85.69852187842292,0.19202362,other,579527.1093305323,9524334.930121738,1260.6890986601704,ice
52,144088547.7380121,-77.46002058874312,85.6984596097161,0.38613746,other,579524.756785465,9524327.4864999,1260.6339829476249,ice
53,144088547.73910117,-77.46043800009923,85.69839834088381,0.49998647,other,579522.4397275804,9524320.16204589,1260.578867235079,ice
54,144088547.74006304,-77.46080697603804,85.69834424298746,0.5814892,other,579520.3903165167,9524313.694277586,1260.5237515225335,ice
55,144088547.74107653,-77.46119609892769,85.69828725790079,0.50883144,other,579518.2276858956,9524306.88070409,1260.4686358099875,ice
56,144088547.74207947,-77.46158171652742,85.69823087270137,0.2739131,other,579516.0828520907,9524300.138047144,1260.4135200974424,ice
