,Unnamed: 0.1,Unnamed: 0,beam_fb_confidence,beam_fb_height,beam_fb_quality_flag,beam_fb_sigma,beam_refsurf_ndx,delta_time,geoseg_beg,geoseg_end,height_segment_id,latitude,longitude,seg_dist_x,utm_x,utm_y
10614,10614,44328,0.031662498,0.033829644,1,0.0068320083,51,144088552.22767127,523938,523938,45567,85.44332807450425,-79.11239669583034,10496215.070275905,569743.4844151493,9494019.632178558
10615,10615,44329,0.028637059,0.035410553,1,0.006896783,51,144088552.22819352,523938,523938,45568,85.44329806937041,-79.1125765860878,10496218.78215581,569742.362021492,9494016.095341656
10616,10616,44330,0.03361898,0.028036922,1,0.0078294715,51,144088552.22868997,523938,523938,45569,85.44326957998659,-79.1127474182798,10496222.306633111,569741.2960494304,9494012.73713921
10617,10617,44331,0.0450673,0.02628015,1,0.010856713,51,144088552.22921845,523938,523939,45570,85.44323931238274,-79.1129290742315,10496226.051921884,569740.1621072661,9494009.16913484
10618,10618,44332,0.017449206,0.05559367,1,0.021479294,51,144088552.22996968,523938,523939,45571,85.44319637318179,-79.113186862456,10496231.365920598,569738.552683046,9494004.107282436
10619,10619,44333,0.008100215,0.28804782,4,0.028463773,51,144088552.23083127,523939,523939,45572,85.44314714993152,-79.11348245478293,10496237.457586924,569736.7069890124,9493998.304551415
10620,10620,44334,0.009358701,0.47134557,2,0.028852975,51,144088552.23196128,523939,523940,45573,85.44308262546514,-79.11387016214307,10496245.44353738,569734.2854533808,9493990.697752124
10621,10621,44335,0.009639887,0.3821157,1,0.033733215,51,144088552.23320535,523939,523940,45574,85.44301166155319,-79.11429702280924,10496254.228555731,569731.6180888222,9493982.33125792
10622,10622,44336,0.017681172,0.26153082,1,0.026664399,51,144088552.2345382,523940,523941,45575,85.44293568573832,-79.11475449083841,10496263.635616563,569728.7581639655,9493973.373326233
10623,10623,44337,0.017164722,0.1961058,1,0.022017011,51,144088552.23560962,523940,523941,45576,85.44287464183425,-79.11512223468516,10496271.19476466,569726.4585946042,9493966.175728386
10624,10624,44338,0.024092553,0.13799232,1,0.017026253,51,144088552.23647958,523941,523941,45577,85.44282509845797,-79.1154208461481,10496277.330438,569724.5908775474,9493960.333965909
10625,10625,44339,0.0338623,0.113655925,1,0.015275405,51,144088552.23748326,523941,523942,45578,85.4427679503872,-79.11576550735175,10496284.408313643,569722.4345187233,9493953.595265504
10626,10626,44340,0.03225159,0.10422161,1,0.018567404,51,144088552.2382079,523941,523942,45579,85.44272670950208,-79.116014365363,10496289.51695958,569720.8771623241,9493948.732127754
10627,10627,44341,0.039821032,0.113959685,1,0.01679127,51,144088552.23902616,523941,523942,45580,85.44268014018128,-79.11629552169487,10496295.28628421,569719.1172662068,9493943.240487996
10628,10628,44342,0.046445183,0.093190625,1,0.014357724,51,144088552.2395989,523942,523942,45581,85.44264753480779,-79.11649245483564,10496299.325597009,569717.8843252889,9493939.39543568
10629,10629,44343,0.026373915,0.076949865,1,0.008187412,51,144088552.2400892,523942,523942,45582,85.44261965328033,-79.11666091901144,10496302.779881384,569716.8294417895,9493936.107378226
10630,10630,44344,0.03625813,0.07688999,1,0.0074585993,51,144088552.24060884,523942,523943,45583,85.44259009741113,-79.11683962315522,10496306.44242176,569715.710105902,9493932.62171871
10631,10631,44345,0.054477915,0.093560964,1,0.0097726025,51,144088552.2413243,523942,523943,45584,85.44254940000016,-79.11708577917899,10496311.4861939,569714.1680236461,9493927.821984353
10632,10632,44346,0.025204947,0.088790685,1,0.008359133,51,144088552.2420983,523943,523943,45585,85.44250536426495,-79.11735221482286,10496316.943652151,569712.4986296971,9493922.628435532
10633,10633,44347,0.025399076,0.098425,1,0.009138441,51,144088552.24278265,523943,523943,45586,85.44246643814779,-79.11758789496912,10496321.7681762,569711.0214966635,9493918.037321948
10634,10634,44348,0.037616905,0.08590381,1,0.011705678,51,144088552.2437593,523943,523944,45587,85.4424108778667,-79.11792450018805,10496328.655765995,569708.9112129442,9493911.484051917
10635,10635,44349,0.043750413,0.072423816,1,0.010652549,51,144088552.24460003,523943,523944,45588,85.44236303200118,-79.11821450427095,10496334.587712884,569707.0926847743,9493905.840529524
10636,10636,44350,0.022013696,0.07198922,1,0.008202801,51,144088552.2452417,523944,523944,45589,85.44232653259603,-79.11843579001149,10496339.112800635,569705.7048929865,9493901.535283474
10637,10637,44351,0.025335915,0.076918975,1,0.007984058,51,144088552.24576747,523944,523944,45590,85.44229659647866,-79.11861738943311,10496342.824465511,569704.5657051244,9493898.004077584
10638,10638,44352,0.036749583,0.10858224,1,0.009395892,51,144088552.24626347,523944,523945,45591,85.44226838051107,-79.11878858594955,10496346.323216546,569703.4916754039,9493894.675740477
10639,10639,44353,0.05446917,0.09230815,1,0.011976485,51,144088552.2469893,523944,523945,45592,85.44222705241603,-79.11903949228098,10496351.448823923,569701.9171514108,9493889.800522365
